Source,Target,Type,Weight
238,191,Directed,4.0
239,191,Directed,4.0
240,223,Directed,2.0
240,40,Directed,2.0
241,198,Directed,4.0
241,6,Directed,4.0
242,224,Directed,4.0
242,259,Directed,2.0
244,243,Directed,1.0
244,191,Directed,1.0
245,198,Directed,2.0
245,243,Directed,2.0
245,191,Directed,2.0
245,45,Directed,1.0
246,191,Directed,2.0
247,267,Directed,1.0
248,3,Directed,1.0
248,196,Directed,1.0
248,185,Directed,2.0
248,271,Directed,4.0
248,249,Directed,1.0
248,204,Directed,1.0
248,48,Directed,1.0
248,274,Directed,4.0
248,114,Directed,1.0
248,132,Directed,2.0
248,8,Directed,2.0
248,159,Directed,1.0
248,297,Directed,2.0
248,252,Directed,4.0
249,185,Directed,1.0
249,271,Directed,2.0
249,274,Directed,2.0
249,31,Directed,1.0
249,248,Directed,2.0
249,8,Directed,1.0
249,252,Directed,1.0
249,297,Directed,1.0
249,132,Directed,1.0
250,191,Directed,2.0
251,275,Directed,4.0
251,293,Directed,4.0
251,258,Directed,4.0
251,191,Directed,2.0
254,243,Directed,1.0
255,32,Directed,2.0
255,286,Directed,2.0
256,191,Directed,1.0
259,228,Directed,4.0
260,228,Directed,2.0
260,224,Directed,4.0
260,58,Directed,2.0
260,168,Directed,1.0
261,290,Directed,2.0
261,100,Directed,1.0
261,116,Directed,1.0
261,76,Directed,1.0
262,83,Directed,1.0
262,243,Directed,1.0
262,191,Directed,1.0
263,230,Directed,2.0
264,198,Directed,4.0
264,223,Directed,4.0
264,191,Directed,2.0
265,196,Directed,1.0
266,191,Directed,1.0
267,46,Directed,4.0
268,46,Directed,1.0
269,191,Directed,1.0
269,66,Directed,2.0
269,152,Directed,2.0
269,46,Directed,2.0
270,68,Directed,1.0
271,159,Directed,1.0
272,152,Directed,4.0
272,46,Directed,4.0
273,198,Directed,2.0
273,142,Directed,1.0
273,40,Directed,2.0
274,3,Directed,1.0
274,185,Directed,2.0
274,204,Directed,1.0
274,248,Directed,4.0
274,249,Directed,2.0
274,92,Directed,1.0
274,179,Directed,1.0
274,252,Directed,2.0
274,31,Directed,2.0
274,8,Directed,4.0
